R1000AX-F.Cu.gbr        Front (Top) layer copper
R1000AX-In1.Cu.gbr      Inner 1 layer copper
R1000AX-In2.Cu.gbr      Inner 2 layer copper
R1000AX-F.Adhes.gbr     Front (Top) layer adhesive
R1000AX-B.Cu.gbr        Back (Bottom) layer copper
R1000AX-F.Paste.gbr     Front (Top) Solder Paste
R1000AX-B.Paste.gbr     Back (Bottom) Solder Paste
R1000AX-B.SilkS.gbr     Back (Bottom) Silk Screen
R1000AX-F.SilkS.gbr     Front (Top) Silk Screen
R1000AX-F.Mask.gbr      Front (Top) Solder Mask
R1000AX-B.Mask.gbr      Back (Bottom) Solder Mask
R1000AX-Edge.Cuts.gbr   Edge Cut (routing cut)
R1000AX-NPTH.drl        Non-Plated through hole drills
R1000AX.drl             Plated through hole drills
