Reference;Quantity;Value;Footprint;Datasheet;Manufacturer;MPN;SKU;Res;Tol;Pwr;C;Vmax;Type;Color
A1 ;1;ART;Symbols:KiCad-Logo2_12mm_SilkScreen;
A2 ;1;ART;pluggee:pluggeeLabsLogo;
A3 ;1;ART;Symbols:OSHW-Logo_11.4x12mm_SilkScreen;
A4 ;1;ART;Symbols:Symbol_GNU-Logo_SilkscreenTop;
A5 ;1;ART;Symbols:RoHS-Logo_6mm_SilkScreen;
C1 ;1;CC0603KRX5R5BB475;Main:CAPC0603;;Yageo;CC0603KRX5R5BB475;GENERIC;;±10%;;4.70 µF;6.3V;X5R;
C14 ;1;CL21A475KLCLQNC;Main:CAPC0805;;Samsung Electro-Mechanics America, Inc.;CL21A475KLCLQNC;GENERIC;;±10%;;4.70 µF;35V;X5R;
C15 C16 C24 ;3;CC0603KRX7R9BB103;Main:CAPC0603;;Yageo;CC0603KRX7R9BB103;GENERIC;;±10%;;10.0 nF;50.0V;X7R;
C17 ;1;CC0603KRX7R9BB682;Main:CAPC0603;;Yageo;CC0603KRX7R9BB682;GENERIC;;±10%;;6.80 nF;50.0V;X7R;
C12 C18 ;2;CC0603JRNPO9BN180;Main:CAPC0603;;Yageo;CC0603JRNPO9BN180;GENERIC;;±5%;;18.0 pF;50.0V;C0G/NP0;
C2 C20 C21 C3 ;4;CC0805MKX5R5BB226;Main:CAPC0805;;Yageo;CC0805MKX5R5BB226;GENERIC;;±20%;;22.0 µF;6.3V;X5R;
C10 C11 C13 C19 C22 C23 C25 C26 C27 C4 C5 C6 C7 ;13;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;GENERIC;;±10%;;100 nF;50.0;X7R;
C8 C9 ;2;CC0603JRNPO9BN120;Main:CAPC0603;;Yageo;CC0603JRNPO9BN120;GENERIC;;±5%;;12.0 pF;50.0V;C0G/NP0;
D1 ;1;LTST-C171GKT;Main:DIOC200X120X110;;Lite-On Inc.;LTST-C171GKT;STUFF;;;;;;;GREEN
D2 ;1;LTST-C171TBKT;Main:DIOC200X120X110;;Lite-On Inc.;LTST-C171TBKT;STUFF;;;;;;;BLUE
D5 ;1;MBR0520LT1G;Main:SOD3717X135;;ON Semiconductor;MBR0520LT1G;STUFF;;;;;;;
