sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; Res; Tol; Pwr; C; Vmax; Type
U1;LPC1769FBD100,551;Main:QFP50P1400X1400X160-100;;NXP Semiconductors;LPC1769FBD100,551;STUFF;;;;;;
J25;SOCKET420P-02X04-CPU;Main:SOCKET420P-02X04;;TE Connectivity AMP Connectors;1586042-8;STUFF;;;;;;
S1;SPST_PUSHBTN;Main:SPST_PUSHBTN;;TE Connectivity Alcoswitch Switches;3-1825910-5;STUFF;;;;;;
L2;600Ohms;Main:RESC0603;;Wurth Electronics Inc;742792651;STUFF;;;;;;
DLED1;Led_Small;Main:LED-0805;
DLED2;Led_Small;Main:LED-0805;
DLED3;Led_Small;Main:LED-0805;
DLED4;Led_Small;Main:LED-0805;
D1;Led_Small;Main:LED-0805;
D2;Led_Small;Main:LED-0805;
S2;SPST_PUSHBTN;Main:SPST_PUSHBTN;;TE Connectivity Alcoswitch Switches;3-1825910-5;STUFF;;;;;;
Q1;DMG2305UX-7;Main:SOT190P290X130X100-3;
Y1;XTAL4_12MHz;Main:XTAL320X250X100;;Abracon LLC;ABM8G-12.000MHZ-4Y-T3;STUFF;;;;;;
D5;D_Schottky_Small;Main:SOD3717X135;;;MBR0520LT1G;;;;;;;
MP2;BRACKET-R1000A;Main:BRACKET-R1000A;
MP3;MICROSD_SCHD3A0100;Main:CONN_SCHD3A0100;;ALPS;SCHD3A0100;STUFF;;;;;;
MP4;MECH_NPTH_M4;Main:MECH_NPTH_M4;
MP6;MECH_NPTH_M4;Main:MECH_NPTH_M4;
MP7;MECH_NPTH_M4;Main:MECH_NPTH_M4;
MP8;MECH_NPTH_M4;Main:MECH_NPTH_M4;
J2;CONN127P-02X05;Main:CONN127P-02X05;;Sullins Connector Solutions;GRPB052VWVN-RC;STUFF;;;;;;
J31;USB_A_RECEPTACLE_2;Main:USB_A_RECEPTACLE_2;;Molex, LLC;0673298000;STUFF;;;;;;
J17;USB_B_RECEPTACLE;Main:USB_B_RECEPTACLE;;On Shore Technology Inc.;USB-B1HSW6;STUFF;;;;;;
MP1;SDCARD_RECEPTACLE;Main:SDCARD_RECEPTACLE;;Amphenol Commercial Products;101-00313-68-02;NOSTUFF;;;;;;
J81;SOCKET254P-01X02;Main:SOCKET254P-01X02;;TE Connectivity AMP Connectors;640456-2;STUFF;;;;;;
J82;SOCKET254P-01X02;Main:SOCKET254P-01X02;;TE Connectivity AMP Connectors;640456-2;STUFF;;;;;;
J83;CONN_01X03;Main:SOCKET254P-01X03;;TE Connectivity AMP Connectors;3-644456-3;STUFF;;;;;;
FID2;FIDTOP001;Main:FIDTOP001;
FID1;FIDTOP001;Main:FIDTOP001;
FID3;FIDTOP001;Main:FIDTOP001;
U20;M24C08-WDW6TP;Main:SOP65P440X300X120-8;;STMicroelectronics;M24C08-WDW6TP;STUFF;;;;;;
TP1;TestPoint;Main:TestPoint000;
R67;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
C4;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0;X7R
C10;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;;±10%;;100 nF;50.0;X7R
R1;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;1.00 kΩ;±1%;100 mW;;;
R2;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;1.00 kΩ;±1%;100 mW;;;
R3;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;1.00 kΩ;±1%;100 mW;;;
R4;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;1.00 kΩ;±1%;100 mW;;;
R5;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;1.00 kΩ;±1%;100 mW;;;
R6;RC0603FR-072K21L;Main:RESC0603;;Yageo;RC0603FR-072K21L;STUFF;2.21 kΩ;±1%;100 mW;;;
R10;RC0603FR-0733R2L;Main:RESC0603;;Yageo;RC0603FR-0733R2L;STUFF;33.2 Ω;±1%;100 mW;;;
R11;RC0603FR-0733R2L;Main:RESC0603;;Yageo;RC0603FR-0733R2L;STUFF;33.2 Ω;±1%;100 mW;;;
R12;RC0603FR-071K5L;Main:RESC0603;;Yageo;RC0603FR-071K5L;STUFF;1.50 kΩ;±1%;100 mW;;;
